" ","score","status","future"
"Index",60.17,,55.52
"Food Provision",31.48,30.37,32.59
". Fisheries",31.48,30.37,32.59
". Mariculture",75.94,70.09,81.79
"Artisanal Fishing Opportunity",44.72,42.78,46.66
"Natural Products",77.01,69.51,84.51
"Carbon Storage",68.81,98.52,39.1
"Coastal Protection",17.81,25.69,9.93
"Tourism & Recreation",91.58,100,83.16
"Coastal Livelihoods & Economies",99.53,99.06,100
". Livelihoods",99.06,98.12,100
". Economies",100,100,100
"Sense of Place",38.59,39.37,37.81
". Iconic Species",59.52,62,57.05
". Lasting Special Places",17.65,16.73,18.57
"Clean Waters",53.79,57.33,50.25
"Biodiversity",78.33,85.47,71.2
". Habitats",76.51,87.33,65.7
". Species",80.15,83.61,76.7
