" ","score","status","future","trend","pressures","resilience"
"Index",60.75,,55.89,,,
"Food Provision",11.46,11,11.92,-0.01,,
". Fisheries",11.46,11,11.92,-0.01,29.81,57.18
". Mariculture",99.66,99.31,100,0.3,30.58,57.41
"Artisanal Fishing Opportunity",44.73,42.78,46.67,0.01,29.45,55.98
"Natural Products",94.44,88.87,100,0.36,26.98,60.8
"Carbon Storage",68.84,98.52,39.16,-1,36.35,56.81
"Coastal Protection",17.82,25.69,9.94,-1,39.58,56.81
"Tourism & Recreation",91.58,100,83.16,-0.34,58.36,75.73
"Coastal Livelihoods & Economies",99.53,99.06,100,0.55,,
". Livelihoods",99.06,98.12,100,0.11,34.27,41.55
". Economies",100,100,100,1,31.76,52.09
"Sense of Place",46.93,47.26,46.59,-0.12,,
". Iconic Species",59.54,62,57.08,-0.25,35.29,62
". Lasting Special Places",34.31,32.52,36.11,0,38.9,72.32
"Clean Waters",53.79,57.33,50.25,-0.19,74.27,75.73
"Biodiversity",78.35,85.47,71.23,-0.37,,
". Habitats",76.53,87.33,65.73,-0.52,30.78,60.59
". Species",80.17,83.61,76.72,-0.23,33.59,56.09
