" ","score","status","future","trend","pressures","resilience"
"Index",60.31,,55.85,,,
"Food Provision",19.79,19,20.59,-0.01,,
". Fisheries",19.79,19,20.59,-0.01,29.87,57.18
". Mariculture",63.91,57.86,69.96,0.18,30.58,57.41
"Artisanal Fishing Opportunity",44.72,42.78,46.66,0.01,29.53,55.98
"Natural Products",90.36,80.72,100,0.33,26.99,60.8
"Carbon Storage",68.81,98.52,39.09,-1,36.57,56.81
"Coastal Protection",17.81,25.69,9.92,-1,39.77,56.81
"Tourism & Recreation",91.58,100,83.16,-0.34,58.36,75.73
"Coastal Livelihoods & Economies",99.53,99.06,100,0.55,,
". Livelihoods",99.06,98.12,100,0.11,34.27,41.55
". Economies",100,100,100,1,31.77,52.09
"Sense of Place",38.4,39.19,37.61,-0.12,,
". Iconic Species",59.52,62,57.04,-0.25,35.48,62
". Lasting Special Places",17.28,16.39,18.18,0,39.14,72.32
"Clean Waters",53.79,57.33,50.25,-0.19,74.27,75.73
"Biodiversity",78.33,85.47,71.19,-0.37,,
". Habitats",76.51,87.33,65.69,-0.52,30.91,60.59
". Species",80.15,83.61,76.69,-0.23,33.7,56.09
