" ","score","status","future","trend","pressures","resilience"
"Index",60.01,,55.41,,,
"Food Provision",44.51,43,46.02,-0.03,,
". Fisheries",44.51,43,46.02,-0.03,29.84,57.18
". Mariculture",80.7,73.06,88.34,0.18,30.58,57.41
"Artisanal Fishing Opportunity",44.72,42.78,46.67,0.01,29.49,55.98
"Natural Products",64.56,56.99,72.13,0.23,26.98,60.8
"Carbon Storage",68.82,98.52,39.13,-1,36.46,56.81
"Coastal Protection",17.81,25.69,9.93,-1,39.68,56.81
"Tourism & Recreation",91.58,100,83.16,-0.34,58.36,75.73
"Coastal Livelihoods & Economies",99.53,99.06,100,0.55,,
". Livelihoods",99.06,98.12,100,0.11,34.27,41.55
". Economies",100,100,100,1,31.77,52.09
"Sense of Place",36.47,37.36,35.59,-0.12,,
". Iconic Species",59.53,62,57.06,-0.25,35.39,62
". Lasting Special Places",13.41,12.72,14.11,0,39.03,72.32
"Clean Waters",53.79,57.33,50.25,-0.19,74.27,75.73
"Biodiversity",78.34,85.47,71.21,-0.37,,
". Habitats",76.52,87.33,65.71,-0.52,30.85,60.59
". Species",80.16,83.61,76.71,-0.23,33.65,56.09
