"rgn_id","habitat","km2"
2,"mangrove",136.227161
4,"mangrove",136.227161
3,"mangrove",136.227161
1,"mangrove",136.227161
2,"mangrove_inland1km",27.94405
4,"mangrove_inland1km",27.94405
3,"mangrove_inland1km",27.94405
1,"mangrove_inland1km",27.94405
2,"mangrove_offshore1km",15.718501
4,"mangrove_offshore1km",15.718501
3,"mangrove_offshore1km",15.718501
1,"mangrove_offshore1km",15.718501
2,"rocky_reef",22.7045
4,"rocky_reef",22.7045
3,"rocky_reef",22.7045
1,"rocky_reef",22.7045
2,"seagrass",2725.42
4,"seagrass",2725.42
3,"seagrass",2725.42
1,"seagrass",2725.42
2,"soft_bottom",22098.5
4,"soft_bottom",22098.5
3,"soft_bottom",22098.5
1,"soft_bottom",22098.5
