"rgn_id","sciname","category"
2,"Dermochelys coriacea","CR"
4,"Dermochelys coriacea","CR"
3,"Dermochelys coriacea","CR"
1,"Dermochelys coriacea","CR"
2,"Galeocerdo cuvier","NT"
4,"Galeocerdo cuvier","NT"
3,"Galeocerdo cuvier","NT"
1,"Galeocerdo cuvier","NT"
2,"Lepidochelys olivacea","VU"
4,"Lepidochelys olivacea","VU"
3,"Lepidochelys olivacea","VU"
1,"Lepidochelys olivacea","VU"
2,"Alopias vulpinus","VU"
4,"Alopias vulpinus","VU"
3,"Alopias vulpinus","VU"
1,"Alopias vulpinus","VU"
2,"Isurus paucus","VU"
4,"Isurus paucus","VU"
3,"Isurus paucus","VU"
1,"Isurus paucus","VU"
2,"Balaenoptera musculus","EN"
4,"Balaenoptera musculus","EN"
3,"Balaenoptera musculus","EN"
1,"Balaenoptera musculus","EN"
2,"Rhincodon typus","VU"
4,"Rhincodon typus","VU"
3,"Rhincodon typus","VU"
1,"Rhincodon typus","VU"
2,"Isurus oxyrinchus","VU"
4,"Isurus oxyrinchus","VU"
3,"Isurus oxyrinchus","VU"
1,"Isurus oxyrinchus","VU"
2,"Megaptera novaeangliae","LC"
4,"Megaptera novaeangliae","LC"
3,"Megaptera novaeangliae","LC"
1,"Megaptera novaeangliae","LC"
2,"Prionace glauca","NT"
4,"Prionace glauca","NT"
3,"Prionace glauca","NT"
1,"Prionace glauca","NT"
