"rgn_id","sciname","popn_trend"
2,"Alopias vulpinus","Decreasing"
4,"Alopias vulpinus","Decreasing"
3,"Alopias vulpinus","Decreasing"
1,"Alopias vulpinus","Decreasing"
2,"Balaenoptera musculus","Increasing"
4,"Balaenoptera musculus","Increasing"
3,"Balaenoptera musculus","Increasing"
1,"Balaenoptera musculus","Increasing"
2,"Dermochelys coriacea","Decreasing"
4,"Dermochelys coriacea","Decreasing"
3,"Dermochelys coriacea","Decreasing"
1,"Dermochelys coriacea","Decreasing"
2,"Galeocerdo cuvier","Unknown"
4,"Galeocerdo cuvier","Unknown"
3,"Galeocerdo cuvier","Unknown"
1,"Galeocerdo cuvier","Unknown"
2,"Isurus oxyrinchus","Decreasing"
4,"Isurus oxyrinchus","Decreasing"
3,"Isurus oxyrinchus","Decreasing"
1,"Isurus oxyrinchus","Decreasing"
2,"Isurus paucus","Decreasing"
4,"Isurus paucus","Decreasing"
3,"Isurus paucus","Decreasing"
1,"Isurus paucus","Decreasing"
2,"Lepidochelys olivacea","Decreasing"
4,"Lepidochelys olivacea","Decreasing"
3,"Lepidochelys olivacea","Decreasing"
1,"Lepidochelys olivacea","Decreasing"
2,"Megaptera novaeangliae","Increasing"
4,"Megaptera novaeangliae","Increasing"
3,"Megaptera novaeangliae","Increasing"
1,"Megaptera novaeangliae","Increasing"
2,"Prionace glauca","Unknown"
4,"Prionace glauca","Unknown"
3,"Prionace glauca","Unknown"
1,"Prionace glauca","Unknown"
2,"Rhincodon typus","Decreasing"
4,"Rhincodon typus","Decreasing"
3,"Rhincodon typus","Decreasing"
1,"Rhincodon typus","Decreasing"
