"rgn_id","year","usd"
1,2002,902651046.291466
2,2002,1126260561.41219
3,2002,656725345.757229
4,2002,3480560238.53912
1,2004,1300124244.71706
2,2004,1622197933.2729
3,2004,945907665.69994
4,2004,5013189504.3101
1,2005,1571008069.36072
2,2005,1960186538.80776
3,2005,1142989665.58243
4,2005,6057698867.24909
1,2006,2987796180.62534
2,2006,3727948931.76218
3,2006,2173776331.21329
4,2006,11520736202.3992
1,2007,3624196728.07206
2,2007,4522002005.53319
3,2007,2636790661.36794
4,2007,13974652863.0268
1,2008,4176134784.31882
2,2008,5210669090.83396
3,2008,3038354158.48506
4,2008,16102887977.3622
1,2009,3802919875.22465
2,2009,4744999400.67988
3,2009,2766820999.32725
4,2009,14663797003.7682
1,2010,4709977937.2738
2,2010,5876758707.21821
3,2010,3426752677.09852
4,2010,18161350391.4095
1,2011,5738319655.85001
2,2011,7159846702.34721
3,2011,4174924491.07155
4,2011,22126565201.7312
