"cntry_key","sector","year","value"
"GHA","aqf",2005,0
"GHA","aqf",2008,12709.21985816
"GHA","cf",2002,868544051.2
"GHA","cf",2007,891346170.3104
"GHA","og",2004,114174832.8574
"GHA","og",2005,79882239.60668
"GHA","og",2006,95391831.93484
"GHA","og",2007,179424651.728
"GHA","og",2008,223090732.1972
"GHA","og",2009,96900024.3106
"GHA","tour",2007,152912358.072
"GHA","tour",2008,153888713.993
"GHA","tour",2009,168383844.203
"GHA","tour",2010,177321256.095
"GHA","tour",2011,2.217e+09
"GHA","tour",2012,2.284e+09
