"cntry_key","year","jobs"
"GHA",1990,"5851766.84277511"
"GHA",1991,"6049045.92522881"
"GHA",1992,"6253959.64213198"
"GHA",1993,"6491024.11995883"
"GHA",1994,"6731050.26515658"
"GHA",1995,"6971588.35722566"
"GHA",1996,"7211516.88622129"
"GHA",1997,"7452539.93423522"
"GHA",1998,"7708922.83270734"
"GHA",1999,"7965557.96891188"
"GHA",2000,"8236701.95096668"
"GHA",2001,"8375717.13882333"
"GHA",2002,"8508656.82034287"
"GHA",2003,"8645769.42363908"
"GHA",2004,"8773334.39879832"
"GHA",2005,"8901525.41926236"
"GHA",2006,"9043916.27827465"
"GHA",2007,"9322791.46849658"
"GHA",2008,"9619602.06183195"
"GHA",2009,"9900634.88607183"
"GHA",2010,"10204902.6020686"
"GHA",2011,"10487162.3962157"
"GHA",2012,"10779112.0822677"
