"rgn_id","year","jobs"
1,1990,856622.533923768
2,1990,1068829.62130172
3,1990,623237.221167379
4,1990,3303077.46638224
1,1991,885501.62498159
2,1991,1104862.79429973
3,1991,644248.254321356
4,1991,3414433.25162613
1,1992,915498.327195734
2,1992,1142290.43903024
3,1992,666072.407424703
4,1992,3530098.4684813
1,1993,950201.482525663
2,1993,1185590.44445896
3,1993,691320.748715114
4,1993,3663911.44425909
1,1994,985338.187427211
2,1994,1229431.40066366
3,1994,716884.519753815
4,1994,3799396.15731189
1,1995,1020549.83469026
2,1995,1273365.86435
3,1995,742502.815238558
4,1995,3935169.84294684
1,1996,1055672.24984981
2,1996,1317188.99088186
3,1996,768056.189750503
4,1996,4070599.45573911
1,1997,1090954.88835388
2,1997,1361212.03213679
3,1997,793726.135036679
4,1997,4206646.87870787
1,1998,1128486.00913239
2,1998,1408040.56164673
3,1998,821031.967529968
4,1998,4351364.29439824
1,1999,1166054.05423331
2,1999,1454915.16256848
3,1999,848364.664378529
4,1999,4496224.08773156
1,2000,1205746.00560569
2,2000,1504439.81511264
3,2000,877242.612945589
4,2000,4649273.51730276
1,2001,1226096.02051148
2,2001,1529831.04387895
3,2001,892048.301843945
4,2001,4727741.77258896
1,2002,1245556.66033223
2,2002,1554112.5768368
3,2002,906206.924345354
4,2002,4802780.65882848
1,2003,1265628.16161112
2,2003,1579156.29710015
3,2003,920809.980167863
4,2003,4880174.98475995
1,2004,1284302.01434599
2,2004,1602456.13589314
3,2004,934396.174350342
4,2004,4952180.07420885
1,2005,1303067.51196861
2,2005,1625870.32233258
3,2005,948049.044931004
4,2005,5024538.54003017
1,2006,1323911.68121388
2,2006,1651878.11997797
3,2006,963214.256682395
4,2006,5104912.2204004
1,2007,1364735.38087842
2,2007,1702814.8835169
3,2007,992915.610696701
4,2007,5262325.59340456
1,2008,1408184.59021804
2,2008,1757027.56194319
3,2008,1024527.15886215
4,2008,5429862.75080857
1,2009,1449324.13943186
2,2009,1808358.41896059
3,2009,1054458.30976785
4,2009,5588494.01791153
1,2010,1493864.97451146
2,2010,1863933.14645758
3,2010,1086864.07214762
4,2010,5760240.40895194
1,2011,1535184.13615674
2,2011,1915488.11045267
3,2011,1116925.90039163
4,2011,5919564.24921465
1,2012,1577921.77191078
2,2012,1968812.94050249
3,2012,1148019.74195171
4,2012,6084357.62790272
