"rgn_id","year","popsum"
1,2005,738625.520884508
2,2005,987965.033566592
3,2005,572653.656348254
4,2005,3006222.41523199
1,2006,668645.428865414
2,2006,875849.231974478
3,2006,509210.331021215
4,2006,2707074.07667532
1,2007,686377.912360335
2,2007,893404.456883732
3,2007,519595.00846234
4,2007,2761284.47707367
1,2008,704110.372270752
2,2008,910959.670161028
3,2008,529979.692496927
4,2008,2815494.90714678
1,2009,721842.830447941
2,2009,928514.878939265
3,2009,540364.354204876
4,2009,2869705.26969824
1,2010,839325.187599262
2,2010,1089202.65798802
3,2010,632312.062324184
4,2010,3313378.28176338
1,2011,758338.245542383
2,2011,963660.296031443
3,2011,561232.61049134
4,2011,2978223.24335654
1,2012,777101.197867579
2,2012,981250.48902274
3,2012,571716.21582443
4,2012,3032530.84528998
1,2013,795864.165446501
2,2013,998840.67671323
3,2013,582199.792029703
4,2013,3086838.37300347
1,2014,814627.094037777
2,2014,1016430.84782545
3,2014,592683.365507803
4,2014,3141145.94382137
1,2015,945917.642462598
2,2015,1190685.36032798
3,2015,692559.410305893
4,2015,3621084.60472864
