"rgn_id","year","popsum"
2,2005,6029520
4,2005,6029520
3,2005,6029520
1,2005,6029520
2,2006,6159130
4,2006,6159130
3,2006,6159130
1,2006,6159130
2,2007,6288740
4,2007,6288740
3,2007,6288740
1,2007,6288740
2,2008,6418350
4,2008,6418350
3,2008,6418350
1,2008,6418350
2,2009,6547950
4,2009,6547950
3,2009,6547950
1,2009,6547950
2,2010,6677560
4,2010,6677560
3,2010,6677560
1,2010,6677560
2,2011,6808910
4,2011,6808910
3,2011,6808910
1,2011,6808910
2,2012,6940260
4,2012,6940260
3,2012,6940260
1,2012,6940260
2,2013,7071600
4,2013,7071600
3,2013,7071600
1,2013,7071600
2,2014,7202950
4,2014,7202950
3,2014,7202950
1,2014,7202950
2,2015,7334300
4,2015,7334300
3,2015,7334300
1,2015,7334300
