"rgn_id","product","year","tonnes"
2,"fish_oil",1999,0.333333333333333
4,"fish_oil",1999,0.333333333333333
3,"fish_oil",1999,0.333333333333333
1,"fish_oil",1999,0.333333333333333
2,"fish_oil",2000,0.25
4,"fish_oil",2000,0.25
3,"fish_oil",2000,0.25
1,"fish_oil",2000,0.25
2,"fish_oil",2001,0
4,"fish_oil",2001,0
3,"fish_oil",2001,0
1,"fish_oil",2001,0
2,"fish_oil",2002,0
4,"fish_oil",2002,0
3,"fish_oil",2002,0
1,"fish_oil",2002,0
2,"fish_oil",2003,0
4,"fish_oil",2003,0
3,"fish_oil",2003,0
1,"fish_oil",2003,0
2,"fish_oil",2004,0
4,"fish_oil",2004,0
3,"fish_oil",2004,0
1,"fish_oil",2004,0
2,"fish_oil",2005,0
4,"fish_oil",2005,0
3,"fish_oil",2005,0
1,"fish_oil",2005,0
2,"fish_oil",2006,8
4,"fish_oil",2006,8
3,"fish_oil",2006,8
1,"fish_oil",2006,8
2,"fish_oil",2007,24.75
4,"fish_oil",2007,24.75
3,"fish_oil",2007,24.75
1,"fish_oil",2007,24.75
2,"fish_oil",2008,41.75
4,"fish_oil",2008,41.75
3,"fish_oil",2008,41.75
1,"fish_oil",2008,41.75
2,"fish_oil",2009,55.75
4,"fish_oil",2009,55.75
3,"fish_oil",2009,55.75
1,"fish_oil",2009,55.75
2,"fish_oil",2010,63.6666666666667
4,"fish_oil",2010,63.6666666666667
3,"fish_oil",2010,63.6666666666667
1,"fish_oil",2010,63.6666666666667
2,"fish_oil",2011,62
4,"fish_oil",2011,62
3,"fish_oil",2011,62
1,"fish_oil",2011,62
2,"shells",1996,26
4,"shells",1996,26
3,"shells",1996,26
1,"shells",1996,26
2,"shells",1997,19.5
4,"shells",1997,19.5
3,"shells",1997,19.5
1,"shells",1997,19.5
2,"shells",1998,10.25
4,"shells",1998,10.25
3,"shells",1998,10.25
1,"shells",1998,10.25
2,"shells",1999,3.75
4,"shells",1999,3.75
3,"shells",1999,3.75
1,"shells",1999,3.75
2,"shells",2000,3.75
4,"shells",2000,3.75
3,"shells",2000,3.75
1,"shells",2000,3.75
2,"shells",2001,3.75
4,"shells",2001,3.75
3,"shells",2001,3.75
1,"shells",2001,3.75
2,"shells",2002,0
4,"shells",2002,0
3,"shells",2002,0
1,"shells",2002,0
2,"shells",2003,0
4,"shells",2003,0
3,"shells",2003,0
1,"shells",2003,0
2,"shells",2004,0
4,"shells",2004,0
3,"shells",2004,0
1,"shells",2004,0
2,"shells",2005,0
4,"shells",2005,0
3,"shells",2005,0
1,"shells",2005,0
2,"shells",2006,0.25
4,"shells",2006,0.25
3,"shells",2006,0.25
1,"shells",2006,0.25
2,"shells",2007,5
4,"shells",2007,5
3,"shells",2007,5
1,"shells",2007,5
2,"shells",2008,16
4,"shells",2008,16
3,"shells",2008,16
1,"shells",2008,16
2,"shells",2009,16
4,"shells",2009,16
3,"shells",2009,16
1,"shells",2009,16
2,"shells",2010,21
4,"shells",2010,21
3,"shells",2010,21
1,"shells",2010,21
2,"shells",2011,22
4,"shells",2011,22
3,"shells",2011,22
1,"shells",2011,22
