"goal","dimension","region_id","score"
"AO","future",0,46.66
"AO","future",1,46.67
"AO","future",2,46.66
"AO","future",3,46.67
"AO","future",4,46.6
"AO","pressures",1,29.49
"AO","pressures",2,29.53
"AO","pressures",3,29.45
"AO","pressures",4,29.92
"AO","resilience",1,55.98
"AO","resilience",2,55.98
"AO","resilience",3,55.98
"AO","resilience",4,55.98
"AO","score",0,44.72
"AO","score",1,44.72
"AO","score",2,44.72
"AO","score",3,44.73
"AO","score",4,44.69
"AO","status",0,42.78
"AO","status",1,42.78
"AO","status",2,42.78
"AO","status",3,42.78
"AO","status",4,42.78
"AO","trend",1,0.01
"AO","trend",2,0.01
"AO","trend",3,0.01
"AO","trend",4,0.01
"BD","future",0,71.2
"BD","future",1,71.21
"BD","future",2,71.19
"BD","future",3,71.23
"BD","future",4,71.02
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","score",0,78.33
"BD","score",1,78.34
"BD","score",2,78.33
"BD","score",3,78.35
"BD","score",4,78.24
"BD","status",0,85.47
"BD","status",1,85.47
"BD","status",2,85.47
"BD","status",3,85.47
"BD","status",4,85.47
"BD","trend",1,-0.37
"BD","trend",2,-0.37
"BD","trend",3,-0.37
"BD","trend",4,-0.37
"CP","future",0,9.93
"CP","future",1,9.93
"CP","future",2,9.92
"CP","future",3,9.94
"CP","future",4,9.84
"CP","pressures",1,39.68
"CP","pressures",2,39.77
"CP","pressures",3,39.58
"CP","pressures",4,40.74
"CP","resilience",1,56.81
"CP","resilience",2,56.81
"CP","resilience",3,56.81
"CP","resilience",4,56.81
"CP","score",0,17.81
"CP","score",1,17.81
"CP","score",2,17.81
"CP","score",3,17.82
"CP","score",4,17.77
"CP","status",0,25.69
"CP","status",1,25.69
"CP","status",2,25.69
"CP","status",3,25.69
"CP","status",4,25.69
"CP","trend",1,-1
"CP","trend",2,-1
"CP","trend",3,-1
"CP","trend",4,-1
"CS","future",0,39.1
"CS","future",1,39.13
"CS","future",2,39.09
"CS","future",3,39.16
"CS","future",4,38.74
"CS","pressures",1,36.46
"CS","pressures",2,36.57
"CS","pressures",3,36.35
"CS","pressures",4,37.64
"CS","resilience",1,56.81
"CS","resilience",2,56.81
"CS","resilience",3,56.81
"CS","resilience",4,56.81
"CS","score",0,68.81
"CS","score",1,68.82
"CS","score",2,68.81
"CS","score",3,68.84
"CS","score",4,68.63
"CS","status",0,98.52
"CS","status",1,98.52
"CS","status",2,98.52
"CS","status",3,98.52
"CS","status",4,98.52
"CS","trend",1,-1
"CS","trend",2,-1
"CS","trend",3,-1
"CS","trend",4,-1
"CW","future",0,50.25
"CW","future",1,50.25
"CW","future",2,50.25
"CW","future",3,50.25
"CW","future",4,50.25
"CW","pressures",1,74.27
"CW","pressures",2,74.27
"CW","pressures",3,74.27
"CW","pressures",4,74.27
"CW","resilience",1,75.73
"CW","resilience",2,75.73
"CW","resilience",3,75.73
